epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,15292.2,0.07009,0.09141,0.78068,0.99967,0.99916,0.995,0.99476,0.04574,0.03874,0.96105,0.005743,0.005743,0.005743
45,15639.7,0.06906,0.0912,0.77954,0.9995,0.99972,0.995,0.99478,0.04496,0.04594,0.9612,0.005644,0.005644,0.005644
46,15987.1,0.06837,0.09002,0.77983,0.99986,0.99956,0.995,0.99464,0.04403,0.04176,0.96056,0.005545,0.005545,0.005545
47,16334.7,0.06821,0.09002,0.7806,0.99979,0.99958,0.995,0.99464,0.04487,0.04247,0.96056,0.005446,0.005446,0.005446
48,16682,0.06717,0.08696,0.77982,0.99971,0.99974,0.995,0.99475,0.04504,0.04189,0.95946,0.005347,0.005347,0.005347
49,17029.4,inf,0.08749,0.78115,0.99985,0.99936,0.995,0.99472,0.04414,0.04291,0.96161,0.005248,0.005248,0.005248
50,17376.1,inf,0.08669,0.7812,0.99963,0.99946,0.995,0.99475,0.04299,0.03876,0.95964,0.005149,0.005149,0.005149
51,17722.8,0.06543,0.08516,0.78127,0.99958,0.99983,0.995,0.99479,0.04218,0.03716,0.95939,0.00505,0.00505,0.00505
52,18070,0.06507,0.08416,0.77906,0.99967,0.99975,0.995,0.99476,0.0405,0.03704,0.95878,0.004951,0.004951,0.004951
53,18416.7,0.0641,0.08475,0.77822,0.9997,0.99994,0.995,0.99487,0.03969,0.03271,0.9589,0.004852,0.004852,0.004852
54,18763.7,0.06411,0.08332,0.77994,0.99934,0.99988,0.995,0.99472,0.04218,0.03735,0.9606,0.004753,0.004753,0.004753
55,19110.2,0.06374,0.08291,0.7799,0.99969,0.99921,0.995,0.99467,0.04016,0.03248,0.95881,0.004654,0.004654,0.004654
56,19456.6,0.06325,0.08291,0.77832,0.99974,0.99945,0.995,0.99482,0.04022,0.03688,0.95897,0.004555,0.004555,0.004555
57,19803.3,0.06249,0.08078,0.77819,0.99972,0.99966,0.995,0.99483,0.03984,0.03187,0.95834,0.004456,0.004456,0.004456
58,20150,0.06288,0.08311,0.7801,0.99965,0.99984,0.995,0.99483,0.04031,0.03492,0.95839,0.004357,0.004357,0.004357
59,20496.6,0.06127,0.0809,0.77909,0.99957,1,0.995,0.99484,0.0396,0.03405,0.95805,0.004258,0.004258,0.004258
60,20843.2,0.06161,0.08141,0.78008,0.99928,0.99996,0.995,0.99487,0.03924,0.03362,0.96012,0.004159,0.004159,0.004159
61,21190.2,0.06203,0.08134,0.77861,0.99995,0.99864,0.995,0.99482,0.03921,0.0314,0.95925,0.00406,0.00406,0.00406
62,21536.9,inf,0.07904,0.77794,0.99952,0.99925,0.995,0.99484,0.03922,0.03149,0.95914,0.003961,0.003961,0.003961
63,21883,0.05985,0.07833,0.77815,0.99989,0.99944,0.995,0.99487,0.03971,0.03504,0.95832,0.003862,0.003862,0.003862
64,22229.4,0.05909,0.07749,0.77867,0.99981,0.99966,0.995,0.99487,0.03806,0.03032,0.95803,0.003763,0.003763,0.003763
65,22575.3,0.05853,0.07678,0.77842,0.9998,0.99994,0.995,0.99488,0.03791,0.0303,0.95786,0.003664,0.003664,0.003664
66,22921.6,0.05847,0.07649,0.77852,0.99987,0.99989,0.995,0.99487,0.03894,0.03182,0.95769,0.003565,0.003565,0.003565
67,23267.6,0.05753,0.07588,0.77779,0.99986,0.99981,0.995,0.9949,0.03951,0.03563,0.95797,0.003466,0.003466,0.003466
68,23614,0.05774,0.07654,0.77832,0.99991,0.99973,0.995,0.99491,0.03929,0.0379,0.95824,0.003367,0.003367,0.003367
69,23960.5,0.05651,0.07504,0.77763,0.99991,0.9999,0.995,0.99492,0.03981,0.03666,0.95898,0.003268,0.003268,0.003268
70,24306.7,0.05622,0.07417,0.77875,0.99993,0.99986,0.995,0.9949,0.03894,0.0309,0.95881,0.003169,0.003169,0.003169
